campaign_id,name,total_budget,duration_days,Click,Comment,Impression,Like,Purchase,Share,ctr,engagement_rate,conversion_rate,cost_per_purchase
1,Campaign_1_Launch,24021.32,59,578,50,5045,188,33,25,0.11456888007928642,0.05213082259663033,0.05709342560553633,727.9187878787878
2,Campaign_2_Launch,79342.41,82,599,64,5255,172,31,25,0.11398667935299714,0.04966698382492864,0.05175292153589316,2559.4325806451616
3,Campaign_3_Winter,14343.25,56,783,79,6711,240,41,41,0.1166741171211444,0.05364327223960662,0.05236270753512133,349.8353658536585
4,Campaign_4_Summer,45326.6,65,1178,121,10249,356,49,74,0.11493804273587667,0.05376134257000683,0.04159592529711375,925.0326530612244
5,Campaign_5_Launch,68376.69,48,583,69,5101,218,34,28,0.11429131542834739,0.0617525975298961,0.058319039451114926,2011.0791176470589
6,Campaign_6_Winter,78607.49,84,572,59,5121,201,33,25,0.11169693419254052,0.05565319273579379,0.057692307692307696,2382.0451515151517
7,Campaign_7_Winter,43744.59,72,605,65,5002,184,33,32,0.1209516193522591,0.05617752898840464,0.05454545454545454,1325.5936363636363
8,Campaign_8_Q3,39953.19,41,995,105,8502,307,47,55,0.1170312867560574,0.0549282521759586,0.04723618090452261,850.0678723404255
9,Campaign_9_Launch,40094.07,49,1223,123,10343,347,61,42,0.11824422314608914,0.04950207870057043,0.04987735077677841,657.2798360655738
10,Campaign_10_Winter,19669.27,65,763,79,6661,231,51,38,0.1145473652604714,0.0522444077465846,0.06684141546526867,385.67196078431374
11,Campaign_11_Q3,79067.91,69,618,54,5095,173,37,30,0.1212953876349362,0.05044160942100098,0.059870550161812294,2136.9705405405407
12,Campaign_12_Q3,30525.65,85,441,38,3410,115,16,21,0.12932551319648095,0.05102639296187683,0.036281179138321996,1907.853125
13,Campaign_13_Winter,21855.42,73,1210,132,10331,374,64,62,0.117123221372568,0.054980156809602165,0.05289256198347107,341.4909375
14,Campaign_14_Summer,39849.94,50,378,33,3313,118,22,21,0.11409598551162088,0.051916691820102626,0.0582010582010582,1811.3609090909092
